ftv44.atsp.txt 10 45 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1613 No optimal path;;;;;;;;;;;;;
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
2317;43.6826;0;100;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;1613;0
2212;37.173;1;100;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;1613;0
2441;51.3329;1;100;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;1613;0
2439;51.2089;0;100;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;1613;0
2379;47.5387;0;100;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;1613;0
2290;41.9839;1;100;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;1613;0
2395;48.4935;1;100;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;1613;0
2439;51.2337;0;100;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;1613;0
2376;47.3404;0;100;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;1613;0
1833;13.6516;0;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;1613;0
2449;51.8785;1;100;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;1613;0
2101;30.2542;0;100;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;1613;0
2420;50.0806;0;100;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;1613;0
1925;19.3428;1;100;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;1613;0
2436;51.0229;1;100;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;1613;0
2161;33.974;0;100;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;1613;0
2410;49.4234;0;100;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;1613;0
2389;48.1091;1;100;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;1613;0
2371;46.9932;1;100;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;1613;0
2320;43.8438;0;100;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;1613;0
2383;47.7619;0;100;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;1613;0
2380;47.5759;1;100;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;1613;0
2372;47.0924;1;100;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;1613;0
2384;47.8239;0;100;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;1613;0
2279;41.3143;0;100;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;1613;0
1825;13.1928;2;200;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;1613;0
2352;45.8648;2;200;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;1613;0
2018;25.1457;0;200;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;1613;0
2345;45.4061;0;200;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;1613;0
2105;30.527;4;200;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;1613;0
2383;47.7371;2;200;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;1613;0
2409;49.349;0;200;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;1613;0
2322;43.9554;0;200;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;1613;0
2231;38.3385;4;200;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;1613;0
2247;39.3304;4;200;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;1613;0
2301;42.6782;0;200;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;1613;0
2381;47.6255;0;200;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;1613;0
2092;29.721;4;200;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;1613;0
2252;39.628;6;200;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;1613;0
2310;43.2486;0;200;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;1613;0
2376;47.3528;1;200;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;1613;0
1911;18.5121;1;200;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;1613;0
2374;47.1792;1;200;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;1613;0
2003;24.1909;0;200;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;1613;0
2484;54.036;0;200;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;1613;0
2116;31.2337;3;200;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;1613;0
2474;53.3912;2;200;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;1613;0
2199;36.367;0;200;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;1613;0
2404;49.0515;0;200;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;1613;0
2337;44.9225;3;200;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;1613;0
2217;37.4954;4;200;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;1613;0
2306;42.9882;0;200;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;1613;0
2422;50.2046;0;200;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;1613;0
2220;37.6441;5;200;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;1613;0
2318;43.7198;6;200;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;1613;0
2245;39.2064;0;200;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;1613;0
2289;41.9467;1;200;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;1613;0
1973;22.3435;1;200;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;1613;0
2395;48.5307;1;200;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;1613;0
1904;18.0533;0;200;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;1613;0
2314;43.4842;0;200;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;1613;0
1901;17.9045;4;200;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;1613;0
2415;49.7582;3;200;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;1613;0
1994;23.6454;0;200;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;1613;0
2391;48.2579;0;200;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;1613;0
2203;36.5902;4;200;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;1613;0
2379;47.5139;5;200;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;1613;0
2242;39.0205;0;200;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;1613;0
2354;45.9516;0;200;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;1613;0
2276;41.1159;5;200;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;1613;0
2408;49.3242;6;200;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;1613;0
2175;34.8667;0;200;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;1613;0
2382;47.6751;1;200;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;1613;0
1811;12.01;1;200;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;1613;0
2316;43.6082;1;200;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;1613;0
2018;25.1333;0;200;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;1613;0
2319;43.7818;0;200;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;1613;0
1989;23.3478;3;200;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;1613;0
2273;40.9547;3;200;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;1613;0
2125;31.7421;0;200;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;1613;0
2397;48.6175;0;200;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;1613;0
2117;31.2833;3;200;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;1613;0
2411;49.473;4;200;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;1613;0
2274;40.9795;0;200;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;1613;0
2429;50.6386;0;200;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;1613;0
2310;43.2486;4;200;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;1613;0
2378;47.4272;5;200;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;1613;0
2400;48.7911;0;200;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;1613;0
2231;38.3137;1;200;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;1613;0
